,0
Channel,Rayleigh
BleuScore,"[0.7006869884946039, 0.7993683254321388, 0.8787324442420871, 0.917984158617161, 0.9492675412252893, 0.961885203822253, 0.9657451946219971]"
SimilarScore,"[0.7129728720415175, 0.7978764315793075, 0.866652787670967, 0.9019999687693657, 0.9295769966962016, 0.9408913402797712, 0.94449373372242]"
Total_params,11426832
TrainingTime,"0 hrs, 37 mins, 51 secs"
